substrate_type,initial_conc_g_cod_l,anode_material,anode_surface_area_m2,anolyte_volume_ml,cathode_material,cathode_surface_area_m2,catholyte_volume_ml,pH,temperature_c,anode_S_V_ratio_m2_m3,cathode_S_V_ratio_m2_m3,max_power_density_w_m2
Sodium acetate,2.56,Graphite felt,0.0018,250,Graphite felt,0.0028,250,,30,7.2,11.2,0.836
Sucrose,0.9,Carbon felt,0.0114,20,Carbon cloth,0.0162,20,7.45,25,570,810,0.035
Glucose,0.25,Carbon paper,0.0025,700,Titanium plate,0.0025,700,,25,3.571428571,3.571428571,0.0495
Dextrose anhydrous,0.85,Carbon cloth,0.00035,300,PES-modified Laser-Induced Graphene on carbon cloth,0.00035,300,,,1.166666667,1.166666667,0.72
Glucose,19.21,Carbon fiber,0.0072,200,Carbon fiber,0.0072,200,6.75,,36,36,0.541
Rotten sweet potato juice,,Graphite rod,0.00302,2500,Graphite rod,0.00302,2500,7,,1.208,1.208,0.00873
Sodium acetate,0.47,Graphite fiber brush,0.0007,28,Carbon paper,0.0007,28,7.4,,25,25,0.619
Cow manure,1.1,Graphite felt,0.0016,100,Graphite felt,0.0016,100,7.25,25,16,16,0.0869
Petrochemical industrial wastewater,5.6,Activated carbon fiber felt,0.012,500,Activated carbon fiber felt,0.012,500,7,,24,24,0.27
brewery wastewater,0.5,Biochar-modified carbon felt,0.00159,400,Carbon felt,0.00159,400,7,,3.975,3.975,0.10805
Septictank wastewater,2.7517,Graphite plate,0.012,550,Graphite plate,0.012,550,7.98,31.4,21.81818182,21.81818182,0.20404
Apple waste,4,Stainless steel brush,,1800,"Carbon cloth with Nafion, 20 percent platinum on Vulcan carbon with PTFE layer",,1800,7,,,,0.218
Waste vegetable oil,1.84,Carbon veil,0.0009,20,Activated carbon,0.0009,20,8.5,,45,45,0.147
Sodium acetate,0.47,Carbon brush,0.0007,20,Activated carbon,0.0007,28,,30,35,25,0.41
Sodium acetate,,Graphite fiber brush,0.000625,28,Activated carbon,0.0007,28,,,,,1.84
Phenol with acetate,1.69,Carbon cloth,0.00029,30,Stainless steel mesh,0.00029,30,6.9,23.5,9.666666667,9.666666667,0.2672
Phenol with glucose,1.69,Carbon cloth,0.00029,30,Stainless steel mesh,0.00029,30,6.9,23.5,9.666666667,9.666666667,0.2345
Phenol with sucrose,1.69,Carbon cloth,0.00029,30,Stainless steel mesh,0.00029,30,6.9,23.5,9.666666667,9.666666667,0.1896
Phenol with ethanol,1.69,Carbon cloth,0.00029,30,Stainless steel mesh,0.00029,30,6.9,23.5,9.666666667,9.666666667,0.1081
Palm oil mill effluent,,Polyacryl nitrile carbon felt,0.0009,35,Polyacryl nitrile carbon felt,0.0009,35,,,25.71428571,25.71428571,0.226
Petrochemical wastewater,45,Polyacrylonitrile coated carbon felt,0.0004,35,Polyacrylonitrile coated carbon felt,0.0004,40,7,,11.42857143,10,0.85
Petrochemical wastewater,5,Polyacrylonitrile coated carbon felt,0.0004,35,Polyacrylonitrile coated carbon felt,0.0004,40,7,,11.42857143,10,0.15
Bilge water,3.35,Carbon fiber brush,0.00177,40,A mixture of activated carbon and carbon black on PVDF,0.00071,40,7.4,23,44.25,17.75,0.2253
Glucose,1.067,Carbon cloth,0.0004,40,Carbon felt,0.00014,40,7.42,35,10,3.5,0.49519
Glucose,1.067,Carbon cloth,0.0004,40,Carbon felt,0.00014,40,7.42,35,10,3.5,0.67535
