substrate_type,initial_conc_g_cod_l,anode_material,anode_surface_area_m2,anolyte_volume_ml,cathode_material,cathode_surface_area_m2,catholyte_volume_ml,pH,temperature_c,anode_S_V_ratio_m2_m3,cathode_S_V_ratio_m2_m3,max_power_density_w_m2
sodium acetate,2.56,graphite felt,0.0018,250.0,graphite felt,0.0028,250.0,,30.0,7.2,11.2,0.836
sucrose,0.9,carbon felt,0.0114,20.0,carbon cloth,0.0162,20.0,7.45,25.0,570.0,810.0,0.035
glucose,0.25,carbon paper,0.0025,700.0,titanium plate,0.0025,700.0,,25.0,3.571428571,3.571428571,0.0495
dextrose anhydrous,0.85,carbon cloth,0.00035,300.0,pes-modified laser-induced graphene on carbon cloth,0.00035,300.0,,,1.166666667,1.166666667,0.72
glucose,19.21,carbon fiber,0.0072,200.0,carbon fiber,0.0072,200.0,6.75,,36.0,36.0,0.541
rotten sweet potato juice,,graphite rod,0.00302,2500.0,graphite rod,0.00302,2500.0,7.0,,1.208,1.208,0.00873
sodium acetate,0.47,graphite fiber brush,0.0007,28.0,carbon paper,0.0007,28.0,7.4,,25.0,25.0,0.619
cow manure,1.1,graphite felt,0.0016,100.0,graphite felt,0.0016,100.0,7.25,25.0,16.0,16.0,0.0869
petrochemical industrial wastewater,5.6,activated carbon fiber felt,0.012,500.0,activated carbon fiber felt,0.012,500.0,7.0,,24.0,24.0,0.27
brewery wastewater,0.5,biochar-modified carbon felt,0.00159,400.0,carbon felt,0.00159,400.0,7.0,,3.975,3.975,0.10805
septictank wastewater,2.7517,graphite plate,0.012,550.0,graphite plate,0.012,550.0,7.98,31.4,21.81818182,21.81818182,0.20404
waste vegetable oil,1.84,carbon veil,0.0009,20.0,activated carbon,0.0009,20.0,8.5,,45.0,45.0,0.147
sodium acetate,0.47,carbon brush,0.0007,20.0,activated carbon,0.0007,28.0,,30.0,35.0,25.0,0.41
phenol with acetate,1.69,carbon cloth,0.00029,30.0,stainless steel mesh,0.00029,30.0,6.9,23.5,9.666666667,9.666666667,0.2672
phenol with glucose,1.69,carbon cloth,0.00029,30.0,stainless steel mesh,0.00029,30.0,6.9,23.5,9.666666667,9.666666667,0.2345
phenol with sucrose,1.69,carbon cloth,0.00029,30.0,stainless steel mesh,0.00029,30.0,6.9,23.5,9.666666667,9.666666667,0.1896
phenol with ethanol,1.69,carbon cloth,0.00029,30.0,stainless steel mesh,0.00029,30.0,6.9,23.5,9.666666667,9.666666667,0.1081
palm oil mill effluent,,polyacryl nitrile carbon felt,0.0009,35.0,polyacryl nitrile carbon felt,0.0009,35.0,,,25.71428571,25.71428571,0.226
petrochemical wastewater,45.0,polyacrylonitrile coated carbon felt,0.0004,35.0,polyacrylonitrile coated carbon felt,0.0004,40.0,7.0,,11.42857143,10.0,0.85
petrochemical wastewater,5.0,polyacrylonitrile coated carbon felt,0.0004,35.0,polyacrylonitrile coated carbon felt,0.0004,40.0,7.0,,11.42857143,10.0,0.15
bilge water,3.35,carbon fiber brush,0.00177,40.0,a mixture of activated carbon and carbon black on pvdf,0.00071,40.0,7.4,23.0,44.25,17.75,0.2253
sucrose with sodium acetate,9.792,fe-t-mof/pani based electrode,7.85e-05,40.0,fe-t-mof/pani based electrode,7.85e-05,40.0,,,1.9625,1.9625,0.68
sodium acetate,0.78,carbon fiber brush,0.000625,28.0,stainless steel mesh with activated carbon catalyst,0.0007,28.0,,30.0,22.32142857,25.0,0.994
activated sludge,1.612,graphite,0.0004,50.0,"non-platinized, gas diffusion electrodes",0.0004,50.0,7.61,25.0,8.0,8.0,0.0915
activated sludge,1.612,rgo-coated graphite,0.0004,50.0,"non-platinized, gas diffusion electrodes",0.0004,50.0,7.61,25.0,8.0,8.0,0.148
activated sludge,1.612,cnts-coated graphite,0.0004,50.0,"non-platinized, gas diffusion electrodes",0.0004,50.0,7.61,25.0,8.0,8.0,0.231
activated sludge,1.612,pani-coated graphite,0.0004,50.0,"non-platinized, gas diffusion electrodes",0.0004,50.0,7.61,25.0,8.0,8.0,0.256
sodium acetate,0.78,flame-oxidized stainless steel (fo-ss) fiber felt,0.0002,60.0,pt/c-modified carbon paper,0.0025,60.0,7.2,20.0,3.333333333,41.66666667,0.55
sodium acetate,0.78,flame-oxidized stainless steel (fo-ss) fiber felt,0.0002,60.0,pt/c-modified carbon paper,0.0025,60.0,7.2,24.0,3.333333333,41.66666667,0.72
sodium acetate,0.78,flame-oxidized stainless steel (fo-ss) fiber felt,0.0002,60.0,pt/c-modified carbon paper,0.0025,60.0,7.2,30.0,3.333333333,41.66666667,0.91
sodium acetate,0.78,flame-oxidized stainless steel (fo-ss) fiber felt,0.0002,60.0,pt/c-modified carbon paper,0.0025,60.0,7.2,34.0,3.333333333,41.66666667,1.05
sodium acetate,0.78,flame-oxidized stainless steel (fo-ss) fiber felt,0.0002,60.0,pt/c-modified carbon paper,0.0025,60.0,7.2,40.0,3.333333333,41.66666667,1.0
propanethiol,1.155,carbon brush,0.0022,70.0,platinum,0.000225,70.0,,,31.42857143,3.214285714,0.0152
synthetic wastewater from sodium acetate,1.0,carbon felt,0.002,80.0,carbon felt,0.002,80.0,,,25.0,25.0,0.275
wastewater,0.7,iron-coated carbon cloth,0.0006,84.0,platinum on carbon cloth,0.0006,84.0,,25.0,7.142857143,7.142857143,0.08
wastewater,0.7,bare carbon cloth,0.0006,84.0,platinum on carbon cloth,0.0006,84.0,,25.0,7.142857143,7.142857143,0.04
sodium lactate with succinic acid,1.92,nickel modified with graphene,0.0002,100.0,nickel modified with graphene,0.0002,100.0,,32.0,2.0,2.0,0.000468
sodium acetate,4.68,carbon felt,3.2e-05,128.0,carbon paper,3.2e-05,128.0,,24.85,0.25,0.25,0.045
breeding wastewater,42.843,nickel-coated sponge,0.0005,150.0,carbon paper,0.001,150.0,7.37,30.0,3.333333333,6.666666667,0.35092
